Object Group,CLGD_mean,CLGD_std,Chamfer Distance_mean,Chamfer Distance_std,Hausdorff Distance_mean,Hausdorff Distance_std,IoU_mean,IoU_std,IoGT_mean,IoGT_std
box,0.0505,0.01517,0.06248,0.07263,0.15582,0.16043,0.88855,0.25534,0.89118,0.24894
right_angle,0.05443,0.01849,0.05914,0.05854,0.19212,0.18993,0.82002,0.25268,0.88309,0.19441
toycar_new,0.0405,0.00762,0.03008,0.02784,0.10819,0.06136,0.95931,0.12628,0.97176,0.12649
u_profile,0.02144,0.0073,0.01258,0.003,0.04153,0.01825,0.90178,0.18415,0.94821,0.15855
