Object Group,CLGD_mean,CLGD_std,Chamfer Distance_mean,Chamfer Distance_std,Hausdorff Distance_mean,Hausdorff Distance_std,IoU_mean,IoU_std,IoGT_mean,IoGT_std
box,0.0465,0.00809,0.03887,0.03282,0.13386,0.13127,0.91146,0.24037,0.94649,0.18263
right_angle,0.05278,0.00976,0.09081,0.05142,0.48211,0.35655,0.61953,0.29501,0.68308,0.25637
toycar_new,0.04414,0.00592,0.03187,0.00734,0.16867,0.07306,0.90917,0.09478,0.95302,0.05477
u_profile,0.02324,0.00702,0.01369,0.00341,0.05106,0.02149,0.7652,0.29756,0.8951,0.17394
