Object Group,AgentMode,CLGD_mean,CLGD_std,Chamfer Distance_mean,Chamfer Distance_std,Hausdorff Distance_mean,Hausdorff Distance_std,IoU_mean,IoU_std,IoGT_mean,IoGT_std
box,StepPlanning,0.04836,0.01105,0.04625,0.04585,0.16382,0.17203,0.87705,0.27054,0.89298,0.2509
box,ZeroShot,0.04464,0.00242,0.0315,0.00356,0.10391,0.06464,0.94587,0.20965,1.0,0.0
right_angle,StepPlanning,0.0585,0.01073,0.11614,0.01985,0.6327,0.25596,0.41154,0.08069,0.52868,0.04015
right_angle,ZeroShot,0.04705,0.00345,0.06548,0.06089,0.33152,0.3863,0.82753,0.28473,0.83747,0.28888
toycar_new,StepPlanning,0.04721,0.00594,0.0356,0.0076,0.20819,0.06328,0.86098,0.10735,0.92579,0.06779
toycar_new,ZeroShot,0.04108,0.00412,0.02813,0.00488,0.12914,0.06087,0.95736,0.04592,0.98024,0.00552
u_profile,StepPlanning,0.02287,0.00688,0.01308,0.00253,0.05074,0.02405,0.79804,0.25989,0.89497,0.16449
u_profile,ZeroShot,0.0236,0.00738,0.0143,0.0041,0.05137,0.01945,0.73236,0.33698,0.89524,0.18873
