AgentMode,CLGD_mean,CLGD_std,Chamfer Distance_mean,Chamfer Distance_std,Hausdorff Distance_mean,Hausdorff Distance_std,IoU_mean,IoU_std,IoGT_mean,IoGT_std
StepPlanning,0.04424,0.01582,0.05277,0.04599,0.26386,0.27041,0.7369,0.27285,0.8106,0.22349
ZeroShot,0.03909,0.01035,0.03485,0.03539,0.15399,0.22103,0.86578,0.25646,0.92824,0.18063
