AgentMode,CLGD_mean,CLGD_std,Chamfer Distance_mean,Chamfer Distance_std,Hausdorff Distance_mean,Hausdorff Distance_std,IoU_mean,IoU_std,IoGT_mean,IoGT_std
StepPlanning,0.03861,0.01262,0.02813,0.02066,0.0894,0.06141,0.97984,0.08748,0.98619,0.06565
ZeroShot,0.03827,0.01246,0.02591,0.00905,0.07905,0.0302,0.98014,0.09699,0.99575,0.00863
