Object Group,AgentMode,CLGD_mean,CLGD_std,Chamfer Distance_mean,Chamfer Distance_std,Hausdorff Distance_mean,Hausdorff Distance_std,IoU_mean,IoU_std,IoGT_mean,IoGT_std
box,StepPlanning,0.04398,0.00055,0.03061,0.00028,0.08558,0.0088,1.0,0.0,1.0,0.0
box,ZeroShot,0.04389,0.00092,0.03063,0.00049,0.08343,0.00786,1.0,0.0,1.0,0.0
right_angle,StepPlanning,0.04654,0.00517,0.04097,0.03574,0.11474,0.10266,0.95096,0.17371,0.96525,0.13116
right_angle,ZeroShot,0.04464,0.00069,0.03154,0.00046,0.09041,0.00974,0.99749,0.00972,1.0,0.0
toycar_new,StepPlanning,0.04536,0.00813,0.02961,0.0057,0.12121,0.01911,0.97255,0.01255,0.97952,0.00564
toycar_new,ZeroShot,0.04572,0.01031,0.02997,0.00672,0.10746,0.02153,0.97308,0.01668,0.98299,0.00901
u_profile,StepPlanning,0.01857,0.00041,0.01132,0.00019,0.0361,0.00888,0.99583,0.01614,1.0,0.0
u_profile,ZeroShot,0.01882,0.00214,0.0115,0.00127,0.03492,0.01065,0.95,0.19365,1.0,1e-05
