Object Name,TestPrompt Nr,CLGD,Chamfer Distance,Hausdorff Distance,ICP Threshold,IoU,IoGT,Timestamp
box,39,0.024104442447423935,0.02039121836423874,0.04388555511832237,1,0.7938507750222592,0.8850802941262123,2025-05-06 11:01:48
box,39,0.024104442447423935,0.02039121836423874,0.04388555511832237,1,0.7938507750222592,0.8850802941262123,2025-05-06 11:01:53
hello,39,0.024104442447423935,0.02039121836423874,0.04388555511832237,1,0.7938507750222592,0.8850802941262123,2025-05-06 11:03:17
hello,39,0.024104442447423935,0.02039121836423874,0.04388555511832237,1,0.7938507750222592,0.8850802941262123,2025-05-06 11:03:20
hello,39,0.024104442447423935,0.02039121836423874,0.04388555511832237,1,0.7938507750222592,0.8850802941262123,2025-05-06 11:03:21
hello,39,0.024104442447423935,0.02039121836423874,0.04388555511832237,1,0.7938507750222592,0.8850802941262123,2025-05-06 11:03:21
hello,39,0.024104442447423935,0.02039121836423874,0.04388555511832237,1,0.7938507750222592,0.8850802941262123,2025-05-06 11:03:21
hello,39,0.024104442447423935,0.02039121836423874,0.04388555511832237,1,0.7938507750222592,0.8850802941262123,2025-05-06 11:03:21
box,39,0.024104442447423935,0.02039121836423874,0.04388555511832237,1,0.7938507750222592,0.8850802941262123,2025-05-06 11:03:39
box,39,0.024104442447423935,0.02039121836423874,0.04388555511832237,1,0.7938507750222592,0.8850802941262123,2025-05-06 11:03:39
box,39,0.024104442447423935,0.02039121836423874,0.04388555511832237,1,0.7938507750222592,0.8850802941262123,2025-05-06 11:04:08
box,39,0.024104442447423935,0.02039121836423874,0.04388555511832237,1,0.7938507750222592,0.8850802941262123,2025-05-06 11:04:22
