Object Name,TestPrompt Nr,AgentMode,CLGD,Chamfer Distance,Hausdorff Distance,ICP Threshold,IoU,IoGT,Timestamp
box,63,StepPlanning,0.02908611297607422,0.026187794283032417,0.051102835685014725,0.999,0.8624892371740779,0.9261681430493813,2025-05-13 17:53:50
u_profile,64,StepPlanning,0.012016400694847107,0.009481461718678474,0.0351904034614563,1,0.9129385600016919,0.9544881350712006,2025-05-13 18:04:05
right_angle,65,StepPlanning,0.030390696600079536,0.026453539729118347,0.09356161952018738,0.994,0.9519919621586156,0.9754056351899268,2025-05-13 19:18:52
