Object Group,CLGD_mean,CLGD_std,Chamfer Distance_mean,Chamfer Distance_std,Hausdorff Distance_mean,Hausdorff Distance_std,IoU_mean,IoU_std,IoGT_mean,IoGT_std
box,0.04416,0.00099,0.03063,0.00044,0.08439,0.00699,0.99837,0.0089,0.99837,0.0089
right_angle,0.04561,0.00673,0.03692,0.03295,0.11562,0.11141,0.95345,0.09314,0.98094,0.09261
toycar_new,0.0399,0.00256,0.02643,0.00182,0.10316,0.03189,0.9823,0.01697,0.9885,0.01041
u_profile,0.02024,0.00673,0.01192,0.00245,0.03697,0.0141,0.95434,0.15481,0.96222,0.1489
