AgentMode,CLGD_mean,CLGD_std,Chamfer Distance_mean,Chamfer Distance_std,Hausdorff Distance_mean,Hausdorff Distance_std,IoU_mean,IoU_std,IoGT_mean,IoGT_std
StepPlanning,0.03741,0.01087,0.02509,0.00805,0.08046,0.03399,0.97475,0.09281,0.98361,0.09209
ZeroShot,0.03755,0.01185,0.02786,0.02533,0.08961,0.08569,0.96948,0.09132,0.98141,0.08414
