Object Group,AgentMode,CLGD_mean,CLGD_std,Chamfer Distance_mean,Chamfer Distance_std,Hausdorff Distance_mean,Hausdorff Distance_std,IoU_mean,IoU_std,IoGT_mean,IoGT_std
box,StepPlanning,0.04439,0.00103,0.03074,0.00039,0.08826,0.00734,0.99675,0.01258,0.99675,0.01258
box,ZeroShot,0.04393,0.00092,0.03053,0.00048,0.08052,0.00392,1.0,0.0,1.0,0.0
right_angle,StepPlanning,0.04455,0.00076,0.03101,0.00066,0.09553,0.01161,0.96707,0.02606,0.99581,0.00614
right_angle,ZeroShot,0.04667,0.00952,0.04282,0.04662,0.1357,0.15721,0.93983,0.12998,0.96608,0.13136
toycar_new,StepPlanning,0.03996,0.00285,0.02662,0.00225,0.10182,0.03939,0.98281,0.01607,0.98949,0.01029
toycar_new,ZeroShot,0.03985,0.00234,0.02624,0.00132,0.1045,0.02347,0.98178,0.01839,0.98751,0.0108
u_profile,StepPlanning,0.02073,0.00872,0.01199,0.00304,0.03623,0.01536,0.95238,0.18443,0.95238,0.18443
u_profile,ZeroShot,0.01975,0.00415,0.01185,0.00178,0.03772,0.01321,0.95631,0.12499,0.97206,0.1082
